title,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Stealth,2005-07-27,135000000,76932943,121,2.9224,5.4,1071,False,Rob Cohen,Josh Lucas,-58067057,-0.7547749343216988,Original Film,Science Fiction,,
Pulse,2006-08-11,38000000,29907685,88,2.9223,5.019,543,True,Jim Sonzero,Kristen Bell,-8092315,-0.2705764421418776,Dimension Films,Horror,Science Fiction,Mystery
Before Midnight,2013-04-05,3000000,11176469,109,2.9221,7.51,2487,True,Richard Linklater,Ethan Hawke,8176469,0.7315789092243713,Castle Rock Entertainment,Romance,Drama,
How Do You Know,2010-12-17,120000000,48668907,121,2.9216,5.3,1010,False,James L. Brooks,Reese Witherspoon,-71331093,-1.465639920781455,Columbia Pictures,Comedy,Drama,Romance
Mayhem,2017-11-10,2500000,17366,87,2.9214,6.4,717,False,Joe Lynch,Steven Yeun,-2482634,-142.95946101577795,Circle of Confusion,Action,Comedy,Horror
The Choice,2016-02-04,10000000,23730891,111,2.9192,7.2,1915,False,Ross Katz,Benjamin Walker,13730891,0.5786083211119212,Lionsgate,Drama,Romance,
Out of Time,2003-10-03,50000000,55495563,105,2.9182,6.341,1206,False,Carl Franklin,Denzel Washington,5495563,0.09902706996593584,Monarch Pictures,Thriller,Crime,Drama
The Chronicles of Riddick,2004-06-11,105000000,115772733,119,2.9173,6.537,4197,True,David Twohy,Vin Diesel,10772733,0.09305069268771603,Radar Pictures,Action,Science Fiction,
Jackie,2016-12-02,9000000,13960394,100,2.9164,6.5,2329,False,Pablo Larraín,Natalie Portman,4960394,0.3553190547487413,LD Entertainment,Drama,,
Bachelorette,2012-01-23,3000000,11947954,87,2.9158,5.4,1207,False,Leslye Headland,Kirsten Dunst,8947954,0.7489109850941843,Gary Sanchez Productions,Comedy,Romance,
Black Christmas,2006-12-15,9000000,21510851,92,2.9131,5.145,567,False,Glen Morgan,Katie Cassidy,12510851,0.5816065110580702,Dimension Films,Horror,Mystery,
High School Musical 3: Senior Year,2008-10-11,11000000,252909177,112,2.9123,6.5,3504,True,Kenny Ortega,Zac Efron,241909177,0.9565061255171456,Walt Disney Pictures,Comedy,Romance,Drama
